CMDLINE /Users/pawanadhikari/Documents/Roadmap/MachineLearningMaths/.venv/bin/python3.14 ./deployment/main.py
MEM 0.578125 1768286225.1576
MEM 27.671875 1768286225.2628
MEM 43.468750 1768286225.3674
MEM 59.406250 1768286225.4725
MEM 68.203125 1768286225.5777
MEM 79.640625 1768286225.6829
MEM 88.640625 1768286225.7880
MEM 94.734375 1768286225.8903
MEM 97.468750 1768286225.9954
MEM 128.359375 1768286226.1005
MEM 156.796875 1768286226.2056
MEM 177.828125 1768286226.3068
MEM 194.687500 1768286226.4120
MEM 202.890625 1768286226.5171
MEM 216.531250 1768286226.6223
MEM 224.718750 1768286226.7235
MEM 231.578125 1768286226.8287
MEM 236.203125 1768286226.9338
MEM 242.484375 1768286227.0341
MEM 250.843750 1768286227.1393
MEM 253.734375 1768286227.2444
MEM 257.250000 1768286227.3461
MEM 267.281250 1768286227.4512
MEM 275.906250 1768286227.5564
MEM 287.218750 1768286227.6615
MEM 295.890625 1768286227.7667
MEM 302.421875 1768286227.8718
MEM 308.875000 1768286227.9735
MEM 314.625000 1768286228.0786
MEM 326.500000 1768286228.1837
MEM 328.375000 1768286228.2889
MEM 325.437500 1768286228.3941
MEM 320.687500 1768286228.4983
MEM 318.000000 1768286228.6035
MEM 316.781250 1768286228.7087
MEM 316.781250 1768286228.8139
MEM 318.328125 1768286228.9239
MEM 318.296875 1768286229.0244
MEM 317.750000 1768286229.1272
MEM 344.906250 1768286229.2325
MEM 582.625000 1768286229.3351
MEM 571.437500 1768286229.4403
MEM 572.250000 1768286229.5455
MEM 572.250000 1768286229.6507
MEM 572.250000 1768286229.7558
MEM 572.250000 1768286229.8610
MEM 572.250000 1768286229.9662
MEM 572.250000 1768286230.0700
MEM 572.250000 1768286230.1752
MEM 602.468750 1768286230.2803
MEM 626.453125 1768286230.3854
MEM 648.359375 1768286230.4903
MEM 672.921875 1768286230.5955
MEM 698.000000 1768286230.7006
MEM 722.531250 1768286230.8057
MEM 746.296875 1768286230.9109
MEM 767.515625 1768286231.0160
MEM 717.703125 1768286231.1211
MEM 735.656250 1768286231.2263
MEM 767.515625 1768286231.3314
MEM 797.312500 1768286231.4365
MEM 826.953125 1768286231.5416
MEM 857.375000 1768286231.6467
MEM 872.937500 1768286231.7518
MEM 902.234375 1768286231.8569
MEM 932.109375 1768286231.9745
MEM 960.671875 1768286232.0750
MEM 978.421875 1768286232.1802
MEM 1002.046875 1768286232.2854
MEM 1032.062500 1768286232.3902
MEM 1016.234375 1768286232.4954
MEM 1030.781250 1768286232.6006
MEM 988.593750 1768286232.7057
MEM 1006.468750 1768286232.8108
MEM 1022.250000 1768286232.9159
MEM 1033.390625 1768286233.0211
MEM 1006.953125 1768286233.1262
MEM 1000.562500 1768286233.2314
MEM 1122.546875 1768286233.3317
MEM 1265.437500 1768286233.4371
MEM 1386.296875 1768286233.5424
MEM 1453.328125 1768286233.6457
MEM 1482.718750 1768286233.7461
MEM 1242.843750 1768286233.8513
MEM 1479.031250 1768286233.9564
MEM 1357.828125 1768286234.0586
MEM 1315.390625 1768286234.1588
MEM 1394.890625 1768286234.2640
MEM 1322.265625 1768286234.3668
MEM 1328.265625 1768286234.4719
MEM 1304.453125 1768286234.5770
MEM 1310.578125 1768286234.6821
MEM 1281.500000 1768286234.7873
